hourstamp,organization_id,environment_id,project_id,platform_id,country,events,acm_events,users,acm_users,new_users,acm_new_users,payers,acm_payers,revenue,acm_revenue,purchases,acm_purchases
1446519600,41,3,34,25,PY,2,19,1,3,0,0,0,0,0,0,0,0
1446519600,41,3,29,25,IN,48573,130762,893,2061,75,235,0,0,0,0,0,0
1446519600,41,3,44,25,FR,3809,26504,257,1461,12,192,0,3,0,2697,0,3
1446519600,41,3,32,8,IE,153,1429,11,77,0,1,0,2,0,1096,0,4
1446519600,80,1,39,1,CN,6,25,1,1,0,0,0,0,0,0,0,0
1446519600,41,3,32,25,SI,131,998,13,53,0,1,0,0,0,0,0,0
1446519600,41,3,21,25,BB,454,3657,24,124,0,1,0,0,0,0,0,0
1446519600,41,3,44,8,QA,2885,5695,245,370,14,18,0,0,0,0,0,0
1446519600,41,3,37,8,IL,31,31,1,1,0,0,0,0,0,0,0,0
1446519600,41,3,39,8,CH,11,62,1,6,0,1,0,0,0,0,0,0
1446519600,80,1,26,1,SE,0,6,0,1,0,1,0,0,0,0,0,0
1446519600,80,1,19,1,PL,408,1544,130,395,0,6,0,0,0,0,0,0
1446519600,82,1,11,1,PH,1818,4561,56,168,50,158,0,0,0,0,0,0
1446519600,28,3,18,25,GB,9153,121860,64,636,8,101,0,2,0,8012,0,2
1446519600,80,1,38,1,VN,19,83,5,8,0,1,0,0,0,0,0,0
1446519600,41,3,41,8,KW,5,53,1,3,0,1,0,0,0,0,0,0
1446519600,41,3,29,25,ZA,105,159,6,7,0,0,0,0,0,0,0,0
1446519600,126,1,1,1,AU,0,6,0,4,0,1,0,0,0,0,0,0
1446519600,41,3,44,8,MA,137,1005,9,54,1,10,0,0,0,0,0,0
1446519600,48,1,2,3,HK,0,28,0,1,0,0,0,0,0,0,0,0
1446519600,97,1,8,1,TT,773,4490,29,125,0,2,0,0,0,0,0,0
1446519600,41,3,37,25,AR,3680,23195,109,566,5,38,0,0,0,0,0,0
1446519600,109,1,3,1,EC,985,3075,5,12,0,0,0,0,0,0,0,0
1446519600,117,1,6,1,MX,6943,19086,183,454,1,2,1,2,10,20,5,10
1446519600,108,3,1,1,MX,632,2481,90,246,9,21,0,1,0,2303,0,1
1446519600,9,5,6,2,GT,4,14,3,12,1,4,0,0,0,0,0,0
1446519600,41,3,41,8,PR,87,117,1,1,0,1,0,0,0,0,0,0
1446519600,41,3,39,8,AT,0,13,0,3,0,1,0,0,0,0,0,0
1446519600,46,3,18,2,NO,0,16,0,2,0,0,0,0,0,0,0,0
1446519600,41,3,44,25,AR,39781,228294,2517,9960,339,1869,1,2,1697,3393,3,7
1446519600,41,3,39,8,MX,1514,5728,148,416,11,51,0,0,0,0,0,0
1446519600,25,3,15,25,IN,0,37,0,2,0,1,0,0,0,0,0,0
1446519600,97,1,8,1,PR,1746,8662,82,266,0,1,0,0,0,0,0,0
1446519600,41,3,32,25,SR,11,217,2,13,0,1,0,0,0,0,0,0
1446519600,41,3,32,25,BO,4179,20399,207,719,3,22,0,0,0,0,0,0
1446519600,9,5,6,2,US,127,1003,117,869,26,173,0,0,0,0,0,0
1446519600,41,3,37,25,AU,979,4677,30,110,1,6,0,0,0,0,0,0
1446519600,97,1,10,1,IM,0,11,0,1,0,0,0,0,0,0,0,0
1446519600,108,3,1,1,GB,274,2054,95,466,2,32,0,0,0,0,0,0
1446519600,41,3,37,25,DZ,0,67,0,5,0,1,0,0,0,0,0,0
1446519600,41,3,37,25,SR,0,37,0,1,0,0,0,0,0,0,0,0
1446519600,41,3,46,8,AE,2579,8011,292,653,10,36,1,1,199,199,1,1
1446519600,30,3,16,2,SE,4,15,2,5,0,0,0,0,0,0,0,0
1446519600,34,3,17,2,JM,53,91,3,6,1,2,0,0,0,0,0,0
1446519600,41,3,32,25,YE,18,521,1,10,0,0,0,0,0,0,0,0
1446519600,35,11,16,25,SR,0,11,0,1,0,0,0,0,0,0,0,0
1446519600,41,3,21,25,AE,52642,165429,2725,6329,44,147,5,14,3592,15377,8,23
1446519600,28,3,18,25,CO,3541,10959,25,73,4,9,0,0,0,0,0,0
1446519600,117,1,2,1,NO,0,45,0,3,0,2,0,0,0,0,0,0
1446519600,80,1,15,1,LK,1086,4987,126,449,3,11,0,0,0,0,0,0
1446519600,41,3,37,25,BM,0,1,0,1,0,0,0,0,0,0,0,0
1446519600,43,3,38,25,IE,4,297,1,6,0,1,0,0,0,0,0,0
1446519600,41,3,21,13,AG,12,61,1,4,0,0,0,0,0,0,0,0
1446519600,46,3,18,2,MX,358,647,3,6,0,0,0,0,0,0,0,0
1446519600,80,1,31,1,TH,0,4,0,1,0,0,0,0,0,0,0,0
1446519600,80,1,19,1,UG,3,3,1,1,0,0,0,0,0,0,0,0
1446519600,41,3,41,8,PK,14,173,1,4,0,0,0,0,0,0,0,0
1446519600,80,1,61,1,AF,38,95,12,27,1,1,0,0,0,0,0,0
1446519600,41,3,29,8,KZ,97,223,4,8,0,0,0,0,0,0,0,0
1446519600,41,3,39,25,BO,9,102,1,6,0,0,0,0,0,0,0,0
1446519600,41,3,32,8,EC,422,1636,23,75,1,3,0,0,0,0,0,0
1446519600,41,3,29,25,CR,196,509,7,9,0,0,0,0,0,0,0,0
1446519600,28,3,18,25,GA,0,161,0,1,0,0,0,0,0,0,0,0
1446519600,108,1,1,1,BE,77,148,12,26,0,1,0,0,0,0,0,0
1446519600,41,3,38,25,SI,0,58,0,3,0,0,0,0,0,0,0,0
1446519600,41,3,21,25,IE,6186,61459,329,2293,2,32,1,7,999,4290,1,10
1446519600,80,1,61,1,GF,16,264,7,78,0,3,0,0,0,0,0,0
1446519600,41,3,44,25,AG,0,20,0,3,0,0,0,0,0,0,0,0
1446519600,41,3,32,8,JM,40,227,4,12,0,1,0,0,0,0,0,0
1446519600,99,1,9,1,KW,2,82,1,2,0,0,0,0,0,0,0,0
1446519600,43,3,54,25,QA,2,7,1,3,0,0,0,0,0,0,0,0
1446519600,97,1,12,1,UA,3,16,2,8,1,8,0,0,0,0,0,0
1446519600,41,3,39,25,DZ,0,165,0,6,0,0,0,0,0,0,0,0
1446519600,41,3,34,25,BG,16,35,1,2,0,0,0,0,0,0,0,0
1446519600,48,1,2,3,VE,286,945,5,16,0,0,0,0,0,0,0,0
1446519600,80,1,37,1,SA,16,16,1,1,0,0,0,0,0,0,0,0
1446519600,80,1,15,1,UZ,38,60,5,8,0,0,0,0,0,0,0,0
1446519600,41,3,34,25,BD,253,283,4,7,0,0,0,0,0,0,0,0
1446519600,41,3,39,8,BO,5,37,1,3,0,0,0,0,0,0,0,0
1446519600,41,3,38,25,SK,16,38,1,3,0,0,0,0,0,0,0,0
1446519600,97,1,4,1,AP,35,73,1,5,0,0,0,0,0,0,0,0
1446519600,97,1,14,1,GT,7,105,1,4,0,0,0,0,0,0,0,0
1446519600,28,3,18,8,EG,0,2,0,1,0,0,0,0,0,0,0,0
1446519600,80,1,19,1,VI,4,61,1,15,0,0,0,0,0,0,0,0
1446519600,41,3,32,13,MA,0,2,0,1,0,0,0,0,0,0,0,0
1446519600,41,3,38,8,NO,14,14,1,1,0,0,0,0,0,0,0,0
1446519600,97,1,4,1,BH,117,369,8,18,0,1,0,0,0,0,0,0
1446519600,97,1,8,1,GF,0,85,0,5,0,0,0,0,0,0,0,0
1446519600,80,1,61,1,VE,5485,48842,1869,12941,93,941,0,5,0,613,0,5
1446519600,41,3,21,25,SV,29554,123372,1436,3726,42,205,1,1,499,499,1,1
1446519600,28,3,18,25,BE,582,1506,4,8,0,0,0,0,0,0,0,0
1446519600,41,3,21,8,EG,24364,189256,1268,6370,10,88,1,5,1198,3690,2,10
1446519600,41,3,21,25,HR,1176,10375,71,380,3,13,0,0,0,0,0,0
1446519600,41,3,37,13,DO,55,188,2,6,1,1,0,0,0,0,0,0
1446519600,97,1,8,1,GE,35,95,2,4,0,0,0,0,0,0,0,0
1446519600,41,3,38,25,RO,57,176,1,6,1,2,0,0,0,0,0,0
1446519600,41,3,29,25,KG,0,33,0,2,0,1,0,0,0,0,0,0
1446519600,97,1,8,1,NA,30,31,4,5,0,0,0,0,0,0,0,0
1446519600,41,3,46,32,BE,0,198,0,16,0,6,0,0,0,0,0,0
1446519600,41,3,29,25,PL,108,240,2,6,2,2,0,0,0,0,0,0
1446519600,80,1,18,1,QA,123,278,23,36,0,0,0,0,0,0,0,0
1446519600,41,3,21,13,TR,10,38,1,2,0,0,0,0,0,0,0,0
1446519600,41,3,38,8,JP,51,115,5,9,0,0,0,0,0,0,0,0
1446519600,41,3,32,25,MQ,115,887,4,31,0,0,0,0,0,0,0,0
1446519600,41,3,44,25,PT,472,4387,41,268,7,54,0,0,0,0,0,0
1446519600,80,1,15,1,PM,5,69,1,10,0,0,0,0,0,0,0,0
1446519600,80,1,15,1,MA,74,2104,9,221,0,3,0,0,0,0,0,0
1446519600,41,3,38,25,HU,0,17,0,2,0,0,0,0,0,0,0,0
1446519600,80,1,19,1,MQ,31,253,13,64,0,0,0,0,0,0,0,0
1446519600,24,3,15,5,CA,14,87,6,12,0,0,0,0,0,0,0,0
1446519600,109,1,3,1,TT,598,5646,6,28,3,6,0,0,0,0,0,0
1446519600,108,1,1,1,IE,8,77,2,16,0,1,0,0,0,0,0,0
1446519600,34,3,16,25,HN,77,305,3,8,0,0,0,0,0,0,0,0
1446519600,35,11,16,2,KY,11,22,2,3,0,0,0,0,0,0,0,0
1446519600,41,3,44,25,SK,348,1630,27,91,1,9,0,0,0,0,0,0
1446519600,41,3,32,13,MT,0,16,0,1,0,0,0,0,0,0,0,0
1446519600,80,1,31,1,MX,306,1754,18,92,7,40,0,0,0,0,0,0
1446519600,41,3,46,8,CG,0,24,0,3,0,0,0,0,0,0,0,0
1446519600,80,1,19,1,BQ,0,14,0,4,0,0,0,0,0,0,0,0
1446519600,41,3,21,8,TG,0,146,0,5,0,0,0,0,0,0,0,0
1446519600,41,3,44,25,IN,2923,8272,241,556,14,55,0,0,0,0,0,0
1446519600,41,3,34,25,PE,65,1268,11,38,0,1,0,0,0,0,0,0
1446519600,117,1,6,1,NO,0,236,0,6,0,0,0,0,0,0,0,0
1446519600,97,1,4,1,CU,0,187,0,1,0,0,0,0,0,0,0,0
1446519600,101,1,5,1,MY,2,42,1,2,0,0,0,0,0,0,0,0
1446519600,41,3,38,8,AR,34,59,1,2,0,0,0,0,0,0,0,0
1446519600,9,5,6,2,IR,6,6,5,5,2,2,0,0,0,0,0,0
1446519600,80,1,18,1,KE,26,26,4,4,0,0,0,0,0,0,0,0
1446519600,99,1,9,1,CL,1,253,1,11,0,1,0,0,0,0,0,0
1446519600,41,3,29,8,BT,6,6,1,1,0,0,0,0,0,0,0,0
1446519600,80,1,60,1,CR,0,1,0,1,0,0,0,0,0,0,0,0
1446519600,34,3,17,2,DM,111,153,2,2,0,0,0,0,0,0,0,0
1446519600,34,3,17,2,WF,0,100,0,1,0,0,0,0,0,0,0,0
1446519600,99,1,9,1,AU,504,4231,29,71,0,1,1,2,100,1271,1,3
1446519600,28,3,18,25,MK,232,1024,1,4,0,0,0,0,0,0,0,0
1446519600,41,3,34,25,PT,37,537,4,54,0,1,0,0,0,0,0,0
1446519600,92,1,4,1,FI,0,9,0,1,0,0,0,0,0,0,0,0
1446519600,108,3,1,1,IM,0,3,0,1,0,0,0,0,0,0,0,0
1446519600,108,3,1,1,BN,0,16,0,2,0,0,0,0,0,0,0,0
1446519600,41,3,46,25,TJ,29,67,4,6,1,2,0,0,0,0,0,0
1446519600,46,8,18,25,**,0,26,0,1,0,0,0,0,0,0,0,0
1446519600,97,1,12,1,DZ,1,6,1,3,0,3,0,0,0,0,0,0
1446519600,39,3,26,30,KN,4,145,2,3,0,0,0,0,0,0,0,0
1446519600,41,3,32,25,JP,1505,4809,94,248,3,17,0,0,0,0,0,0
1446519600,41,3,39,8,FO,0,20,0,2,0,0,0,0,0,0,0,0
1446519600,43,3,54,25,SG,21,76,14,50,0,0,0,0,0,0,0,0
1446519600,41,3,46,13,MA,0,7,0,1,0,1,0,0,0,0,0,0
1446519600,41,3,34,8,FJ,4,8,1,1,0,0,0,0,0,0,0,0
1446519600,41,3,38,8,AT,0,5,0,1,0,0,0,0,0,0,0,0
1446519600,108,3,1,1,GU,0,4,0,1,0,1,0,0,0,0,0,0
