hourstamp,organization_id,environment_id,project_id,platform_id,country,events,acm_events,users,acm_users,new_users,acm_new_users,payers,acm_payers,revenue,acm_revenue,purchases,acm_purchases
1446562800,41,3,34,25,UY,12,588,3,37,0,1,0,0,0,0,0,0
1446562800,19,3,24,2,PH,0,1595,0,3,0,0,0,0,0,0,0,0
1446562800,41,3,21,25,AU,31119,1630738,1634,37087,26,1192,18,497,7276,308629,24,771
1446562800,41,3,44,8,SX,0,99,0,7,0,5,0,0,0,0,0,0
1446562800,41,3,21,25,KE,12368,141357,656,2973,22,225,0,6,0,1693,0,7
1446562800,108,1,2,1,DE,128,1369,79,591,52,462,0,0,0,0,0,0
1446562800,41,3,37,8,AU,21,20466,5,636,0,29,0,0,0,0,0,0
1446562800,41,3,44,8,LU,1133,15306,97,615,4,98,0,0,0,0,0,0
1446562800,117,1,2,1,BG,0,97,0,5,0,0,0,0,0,0,0,0
1446562800,41,3,44,25,AE,18775,134113,1246,4171,94,535,2,8,1596,3690,4,10
1446562800,120,1,2,1,AU,0,110,0,4,0,2,0,0,0,0,0,0
1446562800,108,3,1,1,BO,0,155,0,11,0,4,0,0,0,0,0,0
1446562800,41,3,34,25,LA,6,116,1,7,0,1,0,0,0,0,0,0
1446562800,92,1,4,1,IR,66,76,1,3,0,0,0,0,0,0,0,0
1446562800,41,3,32,13,IL,0,19,0,1,0,0,0,0,0,0,0,0
1446562800,92,1,4,1,CZ,20,339,3,10,0,3,0,0,0,0,0,0
1446562800,41,3,21,8,SD,2798,28723,212,833,3,16,0,0,0,0,0,0
1446562800,43,3,54,25,MO,0,5,0,1,0,0,0,0,0,0,0,0
1446562800,41,3,44,25,PF,13,1466,1,48,0,8,0,0,0,0,0,0
1446562800,41,3,32,25,HR,5282,40918,328,1375,12,87,0,0,0,0,0,0
1446562800,41,3,46,25,JP,2701,78089,291,3713,6,208,4,32,2789,61905,7,58
1446562800,80,1,29,1,TW,0,33,0,2,0,2,0,0,0,0,0,0
1446562800,28,3,18,25,MC,0,189,0,1,0,0,0,0,0,0,0,0
1446562800,9,5,23,25,BD,0,3,0,3,0,0,0,0,0,0,0,0
1446562800,19,3,24,2,AE,190,584,1,4,0,0,0,0,0,0,0,0
1446562800,80,1,38,1,TH,3,115,1,16,1,7,0,0,0,0,0,0
1446562800,39,3,18,2,MA,46,298,2,12,0,0,0,0,0,0,0,0
1446562800,39,3,18,2,MY,423,6284,33,136,0,2,0,0,0,0,0,0
1446562800,41,3,37,25,SA,7135,63039,344,2065,16,200,0,0,0,0,0,0
1446562800,35,11,16,2,SV,0,12,0,3,0,1,0,0,0,0,0,0
1446562800,99,1,8,1,SA,43,594,4,17,0,0,0,0,0,0,0,0
1446562800,43,3,38,2,JM,0,109,0,1,0,0,0,0,0,0,0,0
1446562800,41,3,32,25,BW,10,91,1,3,0,0,0,0,0,0,0,0
